id,name,unit,source,sourceNote,sourceOrganization,topics
CC.CO2.EMSE.BF,CO2 emissions by sector (Mt CO2 eq) - Bunker Fuels,,"{'id': '87', 'value': 'Country Climate and Development Report (CCDR)'}","Bunker fuels sector CO2 emissions are generated from the World Resource Institute's Climate Watch. Climate Watch Historical Emission data contains sector-level greenhouse gas (GHG) emissions data for 194 countries and the European Union (EU) for the period 1990-2018, including emissions of the six major GHGs from most major sources and sinks. Non-CO2 emissions are expressed in CO2 equivalents using 100-year global warming potential values from IPCC Fourth Assessment Report. Climate Watch Historical GHG Emissions data (previously published through CAIT Climate Data Explorer) are derived from several sources. Any use of the Land-Use Change and Forestry or Agriculture indicator should be cited as FAO 2020, FAOSTAT Emissions Database. Any use of CO2 emissions from fuel combustion data should be cited as CO2 Emissions from Fuel Combustion, OECD/IEA, 2020.","Climate Watch. 2020. Washington, DC: World Resources Institute. Available online at: https://www.climatewatchdata.org.",[]
CC.CO2.EMSE.BL,CO2 emissions by sector (Mt CO2 eq) - Building,,"{'id': '87', 'value': 'Country Climate and Development Report (CCDR)'}","Building sector CO2 emissions are generated from the World Resource Institute's Climate Watch. Climate Watch Historical Emission data contains sector-level greenhouse gas (GHG) emissions data for 194 countries and the European Union (EU) for the period 1990-2018, including emissions of the six major GHGs from most major sources and sinks. Non-CO2 emissions are expressed in CO2 equivalents using 100-year global warming potential values from IPCC Fourth Assessment Report. Climate Watch Historical GHG Emissions data (previously published through CAIT Climate Data Explorer) are derived from several sources. Any use of the Land-Use Change and Forestry or Agriculture indicator should be cited as FAO 2020, FAOSTAT Emissions Database. Any use of CO2 emissions from fuel combustion data should be cited as CO2 Emissions from Fuel Combustion, OECD/IEA, 2020.","Climate Watch. 2020. Washington, DC: World Resources Institute. Available online at: https://www.climatewatchdata.org.",[]
CC.CO2.EMSE.EH,CO2 emissions by sector (Mt CO2 eq) - Electricity/Heat,,"{'id': '87', 'value': 'Country Climate and Development Report (CCDR)'}",,,[]
CC.CO2.EMSE.EL,CO2 emissions by sector (Mt CO2 eq) - Total excluding LUCF,,"{'id': '87', 'value': 'Country Climate and Development Report (CCDR)'}","Total CO2 emissions (excluding LUCF) are generated from the World Resource Institute's Climate Watch. Climate Watch Historical Emission data contains sector-level greenhouse gas (GHG) emissions data for 194 countries and the European Union (EU) for the period 1990-2018, including emissions of the six major GHGs from most major sources and sinks. Non-CO2 emissions are expressed in CO2 equivalents using 100-year global warming potential values from IPCC Fourth Assessment Report. Climate Watch Historical GHG Emissions data (previously published through CAIT Climate Data Explorer) are derived from several sources. Any use of the Land-Use Change and Forestry or Agriculture indicator should be cited as FAO 2020, FAOSTAT Emissions Database. Any use of CO2 emissions from fuel combustion data should be cited as CO2 Emissions from Fuel Combustion, OECD/IEA, 2020.","Climate Watch. 2020. Washington, DC: World Resources Institute. Available online at: https://www.climatewatchdata.org.",[]
CC.CO2.EMSE.EN,CO2 emissions by sector (Mt CO2 eq) - Energy,,"{'id': '87', 'value': 'Country Climate and Development Report (CCDR)'}","Energy sector CO2 emissions are generated from the World Resource Institute's Climate Watch. Climate Watch Historical Emission data contains sector-level greenhouse gas (GHG) emissions data for 194 countries and the European Union (EU) for the period 1990-2018, including emissions of the six major GHGs from most major sources and sinks. Non-CO2 emissions are expressed in CO2 equivalents using 100-year global warming potential values from IPCC Fourth Assessment Report. Climate Watch Historical GHG Emissions data (previously published through CAIT Climate Data Explorer) are derived from several sources. Any use of the Land-Use Change and Forestry or Agriculture indicator should be cited as FAO 2020, FAOSTAT Emissions Database. Any use of CO2 emissions from fuel combustion data should be cited as CO2 Emissions from Fuel Combustion, OECD/IEA, 2020.","Climate Watch. 2020. Washington, DC: World Resources Institute. Available online at: https://www.climatewatchdata.org.",[]
CC.CO2.EMSE.FE,CO2 emissions by sector (Mt CO2 eq) - Fugitive Emissions,,"{'id': '87', 'value': 'Country Climate and Development Report (CCDR)'}","Fugitive sector CO2 emissions are generated from the World Resource Institute's Climate Watch. Climate Watch Historical Emission data contains sector-level greenhouse gas (GHG) emissions data for 194 countries and the European Union (EU) for the period 1990-2018, including emissions of the six major GHGs from most major sources and sinks. Non-CO2 emissions are expressed in CO2 equivalents using 100-year global warming potential values from IPCC Fourth Assessment Report. Climate Watch Historical GHG Emissions data (previously published through CAIT Climate Data Explorer) are derived from several sources. Any use of the Land-Use Change and Forestry or Agriculture indicator should be cited as FAO 2020, FAOSTAT Emissions Database. Any use of CO2 emissions from fuel combustion data should be cited as CO2 Emissions from Fuel Combustion, OECD/IEA, 2020.","Climate Watch. 2020. Washington, DC: World Resources Institute. Available online at: https://www.climatewatchdata.org.",[]
CC.CO2.EMSE.IL,CO2 emissions by sector (Mt CO2 eq) - Total including LUCF,,"{'id': '87', 'value': 'Country Climate and Development Report (CCDR)'}","Total CO2 emissions (including LUCF) are generated from the World Resource Institute's Climate Watch. Climate Watch Historical Emission data contains sector-level greenhouse gas (GHG) emissions data for 194 countries and the European Union (EU) for the period 1990-2018, including emissions of the six major GHGs from most major sources and sinks. Non-CO2 emissions are expressed in CO2 equivalents using 100-year global warming potential values from IPCC Fourth Assessment Report. Climate Watch Historical GHG Emissions data (previously published through CAIT Climate Data Explorer) are derived from several sources. Any use of the Land-Use Change and Forestry or Agriculture indicator should be cited as FAO 2020, FAOSTAT Emissions Database. Any use of CO2 emissions from fuel combustion data should be cited as CO2 Emissions from Fuel Combustion, OECD/IEA, 2020.","Climate Watch. 2020. Washington, DC: World Resources Institute. Available online at: https://www.climatewatchdata.org.",[]
CC.CO2.EMSE.IP,CO2 emissions by sector (Mt CO2 eq) - Industrial Processes,,"{'id': '87', 'value': 'Country Climate and Development Report (CCDR)'}","Industrial Processes sector CO2 emissions are generated from the World Resource Institute's Climate Watch. Climate Watch Historical Emission data contains sector-level greenhouse gas (GHG) emissions data for 194 countries and the European Union (EU) for the period 1990-2018, including emissions of the six major GHGs from most major sources and sinks. Non-CO2 emissions are expressed in CO2 equivalents using 100-year global warming potential values from IPCC Fourth Assessment Report. Climate Watch Historical GHG Emissions data (previously published through CAIT Climate Data Explorer) are derived from several sources. Any use of the Land-Use Change and Forestry or Agriculture indicator should be cited as FAO 2020, FAOSTAT Emissions Database. Any use of CO2 emissions from fuel combustion data should be cited as CO2 Emissions from Fuel Combustion, OECD/IEA, 2020.","Climate Watch. 2020. Washington, DC: World Resources Institute. Available online at: https://www.climatewatchdata.org.",[]
CC.CO2.EMSE.LU,CO2 emissions by sector (Mt CO2 eq) - Land-Use Change and Forestry,,"{'id': '87', 'value': 'Country Climate and Development Report (CCDR)'}","Land-Use Change and Forestry sector CO2 emissions are generated from the World Resource Institute's Climate Watch. Climate Watch Historical Emission data contains sector-level greenhouse gas (GHG) emissions data for 194 countries and the European Union (EU) for the period 1990-2018, including emissions of the six major GHGs from most major sources and sinks. Non-CO2 emissions are expressed in CO2 equivalents using 100-year global warming potential values from IPCC Fourth Assessment Report. Climate Watch Historical GHG Emissions data (previously published through CAIT Climate Data Explorer) are derived from several sources. Any use of the Land-Use Change and Forestry or Agriculture indicator should be cited as FAO 2020, FAOSTAT Emissions Database. Any use of CO2 emissions from fuel combustion data should be cited as CO2 Emissions from Fuel Combustion, OECD/IEA, 2020.","Climate Watch. 2020. Washington, DC: World Resources Institute. Available online at: https://www.climatewatchdata.org.",[]
CC.CO2.EMSE.MC,CO2 emissions by sector (Mt CO2 eq) - Manufacturing/Construction,,"{'id': '87', 'value': 'Country Climate and Development Report (CCDR)'}","Manufacturing and construction sector CO2 emissions are generated from the World Resource Institute's Climate Watch. Climate Watch Historical Emission data contains sector-level greenhouse gas (GHG) emissions data for 194 countries and the European Union (EU) for the period 1990-2018, including emissions of the six major GHGs from most major sources and sinks. Non-CO2 emissions are expressed in CO2 equivalents using 100-year global warming potential values from IPCC Fourth Assessment Report. Climate Watch Historical GHG Emissions data (previously published through CAIT Climate Data Explorer) are derived from several sources. Any use of the Land-Use Change and Forestry or Agriculture indicator should be cited as FAO 2020, FAOSTAT Emissions Database. Any use of CO2 emissions from fuel combustion data should be cited as CO2 Emissions from Fuel Combustion, OECD/IEA, 2020.","Climate Watch. 2020. Washington, DC: World Resources Institute. Available online at: https://www.climatewatchdata.org.",[]
CC.CO2.EMSE.OF,CO2 emissions by sector (Mt CO2 eq) - Other Fuel Combustion,,"{'id': '87', 'value': 'Country Climate and Development Report (CCDR)'}",,,[]
CC.CO2.EMSE.TR,CO2 emissions by sector (Mt CO2 eq) - Transportation,,"{'id': '87', 'value': 'Country Climate and Development Report (CCDR)'}","Transportation sector CO2 emissions are generated from the World Resource Institute's Climate Watch. Climate Watch Historical Emission data contains sector-level greenhouse gas (GHG) emissions data for 194 countries and the European Union (EU) for the period 1990-2018, including emissions of the six major GHGs from most major sources and sinks. Non-CO2 emissions are expressed in CO2 equivalents using 100-year global warming potential values from IPCC Fourth Assessment Report. Climate Watch Historical GHG Emissions data (previously published through CAIT Climate Data Explorer) are derived from several sources. Any use of the Land-Use Change and Forestry or Agriculture indicator should be cited as FAO 2020, FAOSTAT Emissions Database. Any use of CO2 emissions from fuel combustion data should be cited as CO2 Emissions from Fuel Combustion, OECD/IEA, 2020.","Climate Watch. 2020. Washington, DC: World Resources Institute. Available online at: https://www.climatewatchdata.org.",[]
CC.COAL.EMIS.CH,Annual methane emissions at operating coal mines (Mt CO2e 100 years),,"{'id': '87', 'value': 'Country Climate and Development Report (CCDR)'}","Methane emissions from operating coal mining (Mt CO2eq) is generated from the Global Coal Mine Tracker (GCMT). The GCMT provides information on the world’s major coal mines: every operating mine producing 3 million tonnes per annum (mtpa) or greater, and every proposed mine with a capacity of 1 mtpa or greater. The map and underlying data are updated bi-annually, in January and July. With each update, coverage is expanded to include smaller mines. By January 2022, GCMT will have cataloged every coal mine producing 1 mtpa or greater. Each mine included in the tracker is linked to a wiki page on GEM.wiki, which provides additional details. GCMT was accessed in July 2021 to generate this data.","Global Coal Mine Tracker, Global Energy Monitor. Available at: https://globalenergymonitor.org/projects/global-coal-mine-tracker/",[]
CC.COAL.EMIS.CO,Annual CO2 combustion emissions at operating coal mines (Mt CO2),,"{'id': '87', 'value': 'Country Climate and Development Report (CCDR)'}","CO2 emissions from operating coal mining (Mt CO2eq) is generated from the Global Coal Mine Tracker (GCMT). The GCMT provides information on the world’s major coal mines: every operating mine producing 3 million tonnes per annum (mtpa) or greater, and every proposed mine with a capacity of 1 mtpa or greater. The map and underlying data are updated bi-annually, in January and July. With each update, coverage is expanded to include smaller mines. By January 2022, GCMT will have cataloged every coal mine producing 1 mtpa or greater. Each mine included in the tracker is linked to a wiki page on GEM.wiki, which provides additional details. GCMT was accessed in July 2021 to generate this data.","Global Coal Mine Tracker, Global Energy Monitor. Available at: https://globalenergymonitor.org/projects/global-coal-mine-tracker/",[]
CC.COAL.EMPR.CH,Annual methane emisssions at proposed coal projects (Mt CO2e 100 years),,"{'id': '87', 'value': 'Country Climate and Development Report (CCDR)'}","Methane emissions from proposed coal mining (Mt CO2eq) is generated from the Global Coal Mine Tracker (GCMT). The GCMT provides information on the world’s major coal mines: every operating mine producing 3 million tonnes per annum (mtpa) or greater, and every proposed mine with a capacity of 1 mtpa or greater. The map and underlying data are updated bi-annually, in January and July. With each update, coverage is expanded to include smaller mines. By January 2022, GCMT will have cataloged every coal mine producing 1 mtpa or greater. Each mine included in the tracker is linked to a wiki page on GEM.wiki, which provides additional details. GCMT was accessed in July 2021 to generate this data.","Global Coal Mine Tracker, Global Energy Monitor. Available at: https://globalenergymonitor.org/projects/global-coal-mine-tracker/",[]
CC.COAL.EMPR.CO,Annual CO2 combustion emissions at proposed coal projects (Mt CO2),,"{'id': '87', 'value': 'Country Climate and Development Report (CCDR)'}",,,[]
CC.DEN.AFO,Emission Totals - Direct emissions (N2O) - AFOLU,,"{'id': '87', 'value': 'Country Climate and Development Report (CCDR)'}","The FAOSTAT domain Emissions Totals summarizes the greenhouse gas (GHG) emissions generated from agriculture and forest land. They consist of methane (CH4), nitrous oxide (N2O) and carbon dioxide (CO2) emissions from crop and livestock activities, forest management and include land use and land use change processes. Data are computed at Tier 1 of the IPCC Guidelines for National greenhouse gas (GHG) Inventories (IPCC, 1996; 1997; 2000; 2002; 2006; 2014). Estimates are available by country, with global coverage for the period 1961–2019 with projections for 2030 and 2050 for some categories of emissions or 1990–2019 for others. The database is updated annually.  The FAOSTAT domain Emissions Totals disseminates information estimates of CH4, N2O and CO2 emissions/removals and their aggregates in CO2eq in units of kilotonnes (kt, or 106 kg). The latter are computed by using the IPCC Fifth Assessment report global warming potentials, AR5 (IPCC, 2014).","FAO, FAOSTAT Climate Change, Emissions Totals, http://www.fao.org/faostat/en/#data/GT.",[]
CC.DEN.AGS,Emission Totals - Direct emissions (N2O) - Agricultural Soils,,"{'id': '87', 'value': 'Country Climate and Development Report (CCDR)'}","The FAOSTAT domain Emissions Totals summarizes the greenhouse gas (GHG) emissions generated from agriculture and forest land. They consist of methane (CH4), nitrous oxide (N2O) and carbon dioxide (CO2) emissions from crop and livestock activities, forest management and include land use and land use change processes. Data are computed at Tier 1 of the IPCC Guidelines for National greenhouse gas (GHG) Inventories (IPCC, 1996; 1997; 2000; 2002; 2006; 2014). Estimates are available by country, with global coverage for the period 1961–2019 with projections for 2030 and 2050 for some categories of emissions or 1990–2019 for others. The database is updated annually.  The FAOSTAT domain Emissions Totals disseminates information estimates of CH4, N2O and CO2 emissions/removals and their aggregates in CO2eq in units of kilotonnes (kt, or 106 kg). The latter are computed by using the IPCC Fifth Assessment report global warming potentials, AR5 (IPCC, 2014).","FAO, FAOSTAT Climate Change, Emissions Totals, http://www.fao.org/faostat/en/#data/GT.",[]
